BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	tmp	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collection_date	geo_loc_name	host	isolation_source	lat_lon
SAMN06768006	SRX2748393	125803N	18	9	SRR5460380	SRS2134525	125803N	49	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768005	SRX2748394	125631T	19	10	SRR5460381	SRS2134526	125631T	48	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768004	SRX2748395	125631N	14	7	SRR5460382	SRS2134527	125631N	47	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768003	SRX2748396	125524T	19	10	SRR5460383	SRS2134528	125524T	46	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768002	SRX2748397	125524N	20	10	SRR5460384	SRS2134529	125524N	45	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768001	SRX2748398	125262T	17	8	SRR5460385	SRS2134530	125262T	44	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06768000	SRX2748399	125262N	18	9	SRR5460386	SRS2134531	125262N	43	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767999	SRX2748400	125166T	14	7	SRR5460387	SRS2134532	125166T	42	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767998	SRX2748401	125166N	20	10	SRR5460388	SRS2134533	125166N	41	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767997	SRX2748402	124817T	21	10	SRR5460389	SRS2134534	124817T	40	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767996	SRX2748403	124817N	14	7	SRR5460390	SRS2134535	124817N	39	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767995	SRX2748404	124124T	21	10	SRR5460391	SRS2134536	124124T	38	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767994	SRX2748405	124124N	16	8	SRR5460392	SRS2134537	124124N	37	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767993	SRX2748406	124120T	20	10	SRR5460393	SRS2134538	124120T	36	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767992	SRX2748407	124120N	20	10	SRR5460394	SRS2134539	124120N	35	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767991	SRX2748408	124072T	14	7	SRR5460395	SRS2134541	124072T	34	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767990	SRX2748409	124072N	16	8	SRR5460396	SRS2134540	124072N	33	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767989	SRX2748410	124071T	18	9	SRR5460397	SRS2134542	124071T	32	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767988	SRX2748411	124071N	17	9	SRR5460398	SRS2134543	124071N	31	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767987	SRX2748412	123713T	17	8	SRR5460399	SRS2134544	123713T	30	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767986	SRX2748413	123713N	21	10	SRR5460400	SRS2134545	123713N	29	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767985	SRX2748414	123692T	15	8	SRR5460401	SRS2134546	123692T	28	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767984	SRX2748415	123595N	18	9	SRR5460402	SRS2134547	123595N	27	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767983	SRX2748416	123229T	19	9	SRR5460403	SRS2134548	123229T	26	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767982	SRX2748417	123229N	16	8	SRR5460404	SRS2134549	123229N	25	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767981	SRX2748418	122913T	16	8	SRR5460405	SRS2134550	122913T	24	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767980	SRX2748419	122913N	15	8	SRR5460406	SRS2134551	122913N	23	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767979	SRX2748420	122838T	15	7	SRR5460407	SRS2134552	122838T	22	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767978	SRX2748421	122838N	15	7	SRR5460408	SRS2134553	122838N	21	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767977	SRX2748422	122579T	20	10	SRR5460409	SRS2134554	122579T	20	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767976	SRX2748423	122579N	21	10	SRR5460410	SRS2134555	122579N	19	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767975	SRX2748424	122545T	21	11	SRR5460411	SRS2134556	122545T	18	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767974	SRX2748425	122545N	17	9	SRR5460412	SRS2134558	122545N	17	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767973	SRX2748426	121680T	17	8	SRR5460413	SRS2134557	121680T	16	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767972	SRX2748427	121680N	18	9	SRR5460414	SRS2134559	121680N	15	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767971	SRX2748428	121619T	20	10	SRR5460415	SRS2134560	121619T	14	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767970	SRX2748429	121619N	16	8	SRR5460416	SRS2134561	121619N	13	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767969	SRX2748430	120896T	14	7	SRR5460417	SRS2134562	120896T	12	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767968	SRX2748431	120896N	20	10	SRR5460418	SRS2134563	120896N	11	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767967	SRX2748432	120803T	14	7	SRR5460419	SRS2134564	120803T	10	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767966	SRX2748433	120803N	19	10	SRR5460420	SRS2134565	120803N	9	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767965	SRX2748434	120739T	18	9	SRR5460421	SRS2134566	120739T	8	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767964	SRX2748435	120739N	17	9	SRR5460422	SRS2134567	120739N	7	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767963	SRX2748436	120425T	20	10	SRR5460423	SRS2134568	120425T	6	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767962	SRX2748437	120425N	17	9	SRR5460424	SRS2134569	120425N	5	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767961	SRX2748438	0v2215T	15	7	SRR5460425	SRS2134570	0v2215T	4	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767960	SRX2748439	0v2215N	18	9	SRR5460426	SRS2134571	0v2215N	3	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767959	SRX2748440	0v1781T	14	7	SRR5460427	SRS2134572	0v1781T	2	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
SAMN06767958	SRX2748441	0v1781N	18	9	SRR5460428	SRS2134573	0v1781N	1	AMPLICON	502	PRJNA383606	Metagenome or environmental	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	2017-04-20	human gut metagenome	ILLUMINA	2017-05-17	SRP104334	missing	missing	human beings	Bacterica	missing
