BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	temp	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	geographic_location	isolation_source	sample_type	strain
SAMN04185027	SRX1354539	38B	2015-10-19	17	9	SRR2726212	SRS1120995	38B	71	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185028	SRX1354540	39B	2015-10-19	11	6	SRR2726213	SRS1120994	39B	72	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185029	SRX1354541	40B	2015-10-19	11	6	SRR2726214	SRS1120993	40B	73	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185030	SRX1354542	41B	2015-10-19	10	5	SRR2726215	SRS1120992	41B	74	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185031	SRX1354543	42B	2015-10-19	12	6	SRR2726216	SRS1120991	42B	75	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185032	SRX1354544	43B	2015-10-19	12	6	SRR2726217	SRS1120990	43B	76	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185033	SRX1354545	44B	2015-10-19	10	6	SRR2726218	SRS1120989	44B	77	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185034	SRX1354546	45B	2015-10-19	14	8	SRR2726219	SRS1120988	45B	78	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185035	SRX1354547	13C	2015-10-22	15	7	SRR2726220	SRS1120987	13C	79	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185036	SRX1354548	15C	2015-10-22	11	5	SRR2726221	SRS1120986	15C	80	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185037	SRX1354549	16C	2015-10-22	12	6	SRR2726222	SRS1120985	16C	81	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185038	SRX1354550	17C	2015-10-22	9	4	SRR2726223	SRS1120984	17C	82	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185039	SRX1354551	19C	2015-10-25	11	6	SRR2726224	SRS1120983	19C	83	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185040	SRX1354552	20C	2015-10-22	7	3	SRR2726225	SRS1120982	20C	84	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185041	SRX1354553	22C	2015-10-22	12	6	SRR2726226	SRS1120981	22C	85	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185042	SRX1354554	23C	2015-10-22	10	5	SRR2726227	SRS1120980	23C	86	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185043	SRX1354555	25C	2015-10-22	7	4	SRR2726228	SRS1120979	25C	87	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185044	SRX1354556	29C	2015-10-23	18	9	SRR2726229	SRS1120978	29C	88	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185045	SRX1354557	30C	2015-10-22	11	5	SRR2726230	SRS1120977	30C	89	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185046	SRX1354558	32C	2015-10-22	11	5	SRR2726231	SRS1120976	32C	90	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185047	SRX1354559	34C	2015-10-22	9	4	SRR2726232	SRS1120975	34C	91	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185048	SRX1354560	37C	2015-10-22	11	5	SRR2726233	SRS1120974	37C	92	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185049	SRX1354561	38C	2015-10-22	17	9	SRR2726234	SRS1120973	38C	93	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185050	SRX1354562	40C	2015-10-22	8	4	SRR2726235	SRS1120972	40C	94	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185051	SRX1354563	41C	2015-10-22	8	4	SRR2726236	SRS1120971	41C	95	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185052	SRX1354564	43C	2015-10-22	9	4	SRR2726237	SRS1120970	43C	96	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185053	SRX1354565	44C	2015-10-22	9	4	SRR2726238	SRS1120969	44C	97	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
SAMN04185054	SRX1354566	45C	2015-10-22	15	7	SRR2726239	SRS1120968	45C	98	AMPLICON	602	PRJNA298957	Microbe, viral or environmental	SHANGHAI FIRST PEOPLE'S HOSPITAL	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	OTHER	gut metagenome	ILLUMINA	2015-12-30	SRP064975	30-Jun-2014	missing	colon	mucosa	colorectum
